name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
Willowrun Apartments,3414 Willowrun Dr,2 Bedroom (Single Story),900,2.0,1.0,1395,Austin,TX,78704,"This urban place is an extreme example of hip, cosmopolitan living, with warehouse-stained concrete floors and a kitchen that makes a cook's dreams come true!The wrapped tile shower with river pebble flooring tickles your feet! Don't miss the eye-catching, stellar kitchen with superb custom Euro cabinets! The commercial stainless-steel kitchen sink gives the space a very sharp look. Giant bedrooms with roomy wall closets. Willowrun town-homes provide a homier feel, with no one above you or below you. Each unit also has a perfect, little courtyard area, which is ideal for plants, lawn furniture and just plain chilling and unwinding, after a long day. Have the pulse of Austin at your doorstep. These apartments come unfurnished and ready to make your own!Lease Details: Less Than 1 Year, More Than 1 Year","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1969 ,6 Days on Trulia ,Rent Includes: Garbage ,Parking: Off Street ,Cable TV Ready ,Online Maintenance Portal ,Spanish Speaking Staff ,Online Rent Payment ,High-speed Internet Ready ,Laundry: Shared ,Parking Lot ,Balcony ,Ceiling Fan ,Dishwasher ,Disposal ,Microwave ,Refrigerator ,Floors: Concrete ,Heating Fuel: Electric",https://www.trulia.com/c/tx/austin/willowrun-apartments-3414-willowrun-dr-austin-tx-78704--1041890648,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Efficiency,337,0.0,1.0,749,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 104,337,0.0,1.0,749,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 201,337,0.0,1.0,749,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 209,337,0.0,1.0,749,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 225,337,0.0,1.0,749,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,1 Bed / 1 Bath,630,1.0,1.0,799,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 103,630,1.0,1.0,799,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 132,630,1.0,1.0,799,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
Val Dor Flats Apartments,1521 Reagan Hill Dr,Unit 135,630,1.0,1.0,799,Austin,TX,78752,"Welcome Home to Val Dor Urban Flats! This beautiful apartment community is in the heart of Austin's North Central District and features fully updated apartments with spacious floor plans, accent walls, and two onsite laundry facilities with creative architectural details. Our community features picnic areas and new exterior paint. With a stellar central Austin location, our community is conveniently located near amazing Austin restaurants, downtown, and easy access to Mopac Expwy. Our pet-friendly community is located at 1521 Reagan Hill Austin Texas 78752.Lease Details: 7-13 MonthsApplication Fee: 50.00Admin Fee: 49.00","Apartment ,Cats, small dogs, large dogs allowed ,Built in 1971 ,Deposit: $150 ,Updated Kitchen Avail. ,Floors: Linoleum Vinyl",https://www.trulia.com/c/tx/austin/val-dor-flats-1521-reagan-hill-dr-austin-tx-78752--2072273193,2020-03-30
